timestamp,reaction
1554354660935,😍
1554329208219,😆
1554324474430,👎
1554051843065,👍
1553962360275,😍
1553854230795,👍
1553854218864,😍
1553850943668,😢
1553715189318,👎
1553708463391,👍
1553603852796,👍
1553449670148,👎
1553445501805,👍
1553270736474,😍
1552986567770,👍
1552849788817,😍
1552811359480,😍
1552782486309,😍
1552664401750,👍
1552473155501,😍
1552309052292,😆
1552308947271,😍
1552308944398,😍
1552065555719,😆
1552060287491,👍
1551994516824,😍
1551994003335,👎
1551992522926,👎
1551968934816,😍
1551892365545,😆
1551892265242,👎
1551892215243,😍
1551689087172,👍
1551005149681,👍
1550772608148,😍
1550220929635,😢
1550055700490,👍
1550044509291,😍
1549799326145,👍
1549721529692,👍
1549575972384,👎
1549232319685,👎
1549227045885,😢
1549101592335,👎
1548790940535,👎
1548790885564,👎
1548607734501,😍
1548602762855,👎
1548240501948,😢
1548095043346,😍
1548070723109,😍
1547943122136,😍
1547934556637,👍
1547934234119,👍
1547932681368,😠
1547821143005,😆
1547767331030,👍
1547749011197,😮
1547648177292,👎
1547645770043,😍
1547488299748,👍
1547467567582,😢
1547400617885,👍
1547338671472,👍
1547230806047,😢
1546975933992,😍
1546889437505,👍
1546886106327,👍
1546874152024,😮
1546714230326,😍
1546280873682,😍
1546184659565,😍
1545689936687,😍
1545689917251,😍
1545670142589,😍
1545591806462,😍
1545423834806,😍
1545339219170,👍
1545261565945,😍
1545246239517,👍
1545223821766,😆
1545113414844,👍
1544802849397,👍
1544704513551,😮
1544698417039,😆
1544698398556,😮
1544698389372,😮
1544560591919,😢
1544370675154,😢
1544122299427,😢
1544046067549,👎
1543948760590,😢
1543689041719,👎
1543577895563,😮
1543487349019,😢
1543351032317,👍
1543329368392,👍
1543316093585,👍
1543256213760,👍
1543236105184,😍
1543232463600,😍
1543146278154,👍
1543095363189,😢
1543095350256,👍
1542910311363,👍
1542822713630,😍
1542477906740,👎
1542385734457,👍
1542379768716,😍
1541712539477,😍
1541708752990,👍
1541612514702,👍
1541515138538,😢
1541451718134,👎
1541423244931,👍
1541370155210,👍
1541260865607,👎
1541015781435,😍
1540842018518,👍
1540841975737,👍
1540824375761,👎
1540813443905,👎
1540807169995,👍
1540807069860,👎
1540737448678,👍
1540637149915,😢
1540561994535,😆
1540497035390,👍
1540471266336,😍
1540469977118,👎
1540462594637,👍
1540453993213,😠
1540391121082,👎
1540271866378,😢
1540245806345,👍
1540077460412,👎
1540043317323,👍
1540035534053,😮
1540032121286,👎
1539890086746,😆
1539879235888,👎
1539876940068,😆
1539611836688,👍
1539599981890,😢
1539554380196,👍
1539530022682,😍
1539522530215,👍
1539448962394,👍
1539110971112,👍
1539110489291,👍
1539023494709,😍
1539020799168,😢
1538939912122,😍
1538930077032,😍
1538929351114,😢
1538580965035,👎
1538493269426,😮
1538119364619,😢
1538068392196,😍
1538067526392,👍
1537950585590,😍
1537730345043,👍
1537634023514,😢
1537502928790,😍
1537468202383,👍
1536928817015,👍
1536744509143,😍
1536096672459,👍
1535814130596,👎
1535485809666,😢
1535108882199,👍
1535059200390,👎
1534412218612,👍
1534274432623,👎
1534146557223,👎
1534078367055,👎
1533234153646,😆
1532840434007,👍
1532813242462,👎
1532690862042,😍
1532437050094,👍
1532374457312,👎
1532094113541,👍
1532018832616,👍
1531770782811,👎
1531737602728,👎
1531653110708,😍
1531573105113,😆
1531542683542,👍
1531487796814,👍
1531487768044,👎
1531346824726,👎
1530920195154,😆
1530731671235,😢
1530649794747,👎
1530560267961,👍
1530211610329,👍
1529950723266,😢
1529837278521,👍
1529836777757,😍
1529835301669,👎
1529262371877,👍
1529261112241,👎
1529166805753,👍
1529059852720,👎
1529040385887,👎
1528880567203,👍
1528788072902,😍
1528787793261,👍
1528786874474,👍
1528751963137,👍
1528751915313,😍
1528751849239,😍
1528751647229,👍
1528748941971,😠
